DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Circuitos Hidráulicos e Pneumáticos,3-1-4,Mecânica dos Fluidos I,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Citogenética Básica,3-2-2,Genética I,BCB - Bacharelado em Ciências Biológicas (OL)
Clima e Cultura Organizacional,2-0-3,Organização do Trabalho,EGES - Engenharia de Gestão (OL);BPP - Bacharelado em Políticas Públicas (OL)
Clima Urbano,3-1-4,Climatologia; Ciências Atmosféricas,EAU - Engenharia Ambiental e Urbana (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Climatologia,3-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Codificação de Sinais Multimídia,2-2-4,Programação Estruturada; Processamento Digital de Sinais,EINF - Engenharia de Informação (OBR)
Cogeração,0-2-3,Sistemas Térmicos,EENE - Engenharia de Energia (OL)
Colonialismo Ibérico,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Combinatória Extremal,4-0-4,Matemática Discreta,BM - Bacharelado em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Combustão I,3-1-4,Termodinâmica Aplicada I,EAER - Engenharia Aeroespacial (OBR)
Combustão II,3-1-4,Combustão I,EAER - Engenharia Aeroespacial (OL)
Compiladores,3-1-4,Linguagens Formais e Automata; Algoritmos e Estruturas de Dados I; Algoritmos e Estruturas de Dados II,BCC - Bacharelado em Ciências da Computação (OBR)
