DISCIPLINA,TPI,RECOMENDAÇÃO,CURSO
Nascimento e Desenvolvimento da Ciência Moderna,4-0-4,Não há,LFIS - Licenciatura em Física (OL);LQ - Licenciatura em Química (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Natureza da Informação,3-0-4,Bases Computacionais da Ciência,BC&T - Bacharelado em Ciência e Tecnologia (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Navegação Inercial e GPS,3-1-4,Dinâmica I,EAER - Engenharia Aeroespacial (OL)
Negociação e Solução de Conflitos Organizacionais,4-0-2,Não há,EGES - Engenharia de Gestão (OL)
Negociações internacionais propriedade intelectual e transferência tecnológica,4-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BRI - Bacharelado em Relações Internacionais (OL)
Neuroanatomia,3-1-4,Introdução à Neurociência; Morfofisiologia Humana I,BN - Bacharelado em Neurociência (OBR)
Neuroarte,2-0-2,Introdução à Neurociência,BN - Bacharelado em Neurociência (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Neuroarte Prática e Estética Experimental,1-3-2,Neuroarte,BN - Bacharelado em Neurociência (OL)
Neurobiologia Molecular e Celular,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Biofísica de Membranas,BN - Bacharelado em Neurociência (OBR);BCB - Bacharelado em Ciências Biológicas (OL)
Neurociência da Cognição Musical,2-0-2,Não há,BN - Bacharelado em Neurociência (OL)
Neurociência Teórica e Computacional,2-2-4,Natureza da Informação; Introdução às Equações Diferenciais Ordinárias; Biofísica de Membranas; Introdução à Neurociência; Morfofisiologia Humana I,EBIO - Engenharia Biomédica (OL);BN - Bacharelado em Neurociência (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OL)
Neuroetologia,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Neuroanatomia; Neuropsicofarmacologia; Psicologia experimental; Neurociência teórica e computacional,BN - Bacharelado em Neurociência (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Neuropsicofarmacologia,4-0-4,Introdução à Neurociência; Morfofisiologia Humana I; Biofísica de membranas; Neuroanatomia; Neurobiologia Molecular e Celular ,BN - Bacharelado em Neurociência (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Neuropsicologia,3-1-4,Neuroanatomia; Psicologia Cognitiva,BN - Bacharelado em Neurociência (OL)
Niilismo e Pessimismo Filosófico,4-0-4 ,História da Filosofia Contemporânea: o Século XIX,BFIL - Bacharelado em Filosofia (OL)
Noções de Astronomia e Cosmologia,4-0-4,Fenômenos Mecânicos; Fenômenos Térmicos; Fenômenos Eletromagnéticos; Física Quântica,BFIS - Bacharelado em Física (OL);LFIS - Licenciatura em Física (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Observatório de Políticas Públicas,0-4-4,Avaliação e Monitoramento de Políticas Públicas; Métodos de Planejamento,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Oficina de Planejamento de Áreas Periurbanas Interioranas e Rurais,0-4-4,Planejamento e Política Ambiental; Planejamento e Política Rural,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Oficina de Planejamento e Governança Metropolitana,0-4-4,Planejamento e Política Ambiental; Política Metropolitana,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Oficina de Planejamento Macro e Meso Regional,0-4-4,Planejamento e Política Ambiental; Planejamento e Política Regional,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Oficina de Planejamento Urbano,0-4-4,Planejamento e Política Ambiental; Política Urbana,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Oficina de Projeto Urbano,0-4-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Oficinas de Cultura e Arte-Educação,2-2-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Ondas Eletromagnéticas Aplicadas,3-1-4,Fenômenos Eletromagnéticos,EINF - Engenharia de Informação (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Operação de Sistemas Elétricos de Potência,4-0-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OBR)
Operações e Equipamentos Industriais I,4-0-4,Mecânica dos Fluidos I,EENE - Engenharia de Energia (OL)
Operações e Equipamentos Industriais II,4-0-4,Termodinâmica Aplicada II; Transferência de Massa,EENE - Engenharia de Energia (OL)
Operações Unitárias I,4-0-4,Funções de Uma Variável; Fenômenos Mecânicos; Fenômenos Térmicos,BQ - Bacharelado em Química (OL)
Operações Unitárias II,4-0-4,Funções de Uma variável ; Fenômenos Mecânicos; Fenômenos Térmicos; Operações Unitárias I,BQ - Bacharelado em Química (OL)
Óptica,3-1-4,Fenômenos Eletromagnéticos; Funções de Várias Variáveis; Geometria Analítica,BFIS - Bacharelado em Física (OBR);LFIS - Licenciatura em Física (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Optoeletrônica,3-1-4,Eletromagnetismo Aplicado,EIAR - Engenharia de Instrumentação Automação e Robótica (OL)
Organização do Trabalho,2-0-3,Princípios de Administração,BQ - Bacharelado em Química (OL);EGES - Engenharia de Gestão (OBR);BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Oriente Médio nas Relações Internacionais,4-0-4,Não há,BRI - Bacharelado em Relações Internacionais (OL)
Otimização em Projetos de Estruturas,4-0-4,Cálculo Numérico; Mecânica dos Sólidos I,EAER - Engenharia Aeroespacial (OL)
Paradigmas de Programação,2-2-4,Processamento da Informação; Programação Orientada a Objetos,BC&T - Bacharelado em Ciência e Tecnologia (OL);BCC - Bacharelado em Ciências da Computação (OBR)
Parasitologia,3-0-3,Zoologia de Vertebrados,BCB - Bacharelado em Ciências Biológicas (OL);LCB - Licenciatura em Ciências Biológicas (OL)
Participação Movimentos Sociais e Políticas Públicas,4-0-4,Conflitos Sociais; Cidadania Direitos e Desigualdades,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Patrimônio Cultural e Paisagem,4-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Paulo Freire: educação para a criticidade,2-0-6,Ciência Tecnologia e Sociedade; Educação Científica Sociedade e Cultura,LQ - Licenciatura em Química (OL)
Pedagogias Feministas,4-0-4,Não há,LQ - Licenciatura em Química (OL)
Pensamento Crítico,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Pensamento crítico das Relações Internacionais,4-0-4,Abordagens Tradicionais das Relações Internacionais,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Pensamento e Cinema,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Pensamento Hegeliano e seus Desdobramentos Contemporâneos,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Pensamento Kantiano e seus Desdobramentos Contemporâneos,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Pensamento Latino-Americano e Políticas de CT&I,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Pensamento Marxista e seus Desdobramentos Contemporâneos,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL);BCE - Bacharelado em Ciências Econômicas (OL)
Pensamento Nietzscheano e seus Desdobramentos Contemporâneos,4-0-4,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Percolação,4-0-4,Introdução à Probabilidade e à Estatística; Análise Real I,BM - Bacharelado em Matemática (OL)
Perspectiva de Análise do Estado e das Políticas Públicas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Perspectivas Analíticas sobre Burocracia,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Perspectivas Críticas da Filosofia Contemporânea,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Pesquisa em Filosofia,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OL)
Pesquisa Operacional,4-2-9,Estatística Aplicada a Sistemas de Gestão,EGES - Engenharia de Gestão (OBR);BCC - Bacharelado em Ciências da Computação (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Pesquisa Operacional Aplicada,4-0-5,Pesquisa Operacional,EGES - Engenharia de Gestão (OL)
Petrofísica,4-0-4,Materiais e suas Propriedades; Reologia,EENE - Engenharia de Energia (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Placas e Cascas,4-0-4,Mecânica dos Sólidos I,EAER - Engenharia Aeroespacial (OL)
Planejamento da Operação de Sistemas Hidrotérmicos de Potência,0-2-4,Introdução aos Sistemas Elétricos de Potência,EENE - Engenharia de Energia (OL)
Planejamento de Redes de Informação,2-2-4,Comunicação e Redes,EINF - Engenharia de Informação (OL);BCC - Bacharelado em Ciências da Computação (OL)
Planejamento e Controle da Produção,4-2-9,Tempos Métodos e Arranjos Físicos,EGES - Engenharia de Gestão (OBR)
Planejamento e Controle de Projetos,2-2-4,Elaboração Análise e Avaliação de Projetos,EGES - Engenharia de Gestão (OL)
Planejamento e Gestão de Redes Técnicas e Sistemas Territoriais,4-0-4,Não há,BC&T - Bacharelado em Ciência e Tecnologia (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Planejamento e Política Ambiental,4-0-4,Estudos do Meio Físico; Biodiversidade: Interações entre Organismos e Ambiente; Regulação Ambiental e Urbanística,EAU - Engenharia Ambiental e Urbana (OL);BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Planejamento e Política Regional,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Planejamento e Política Rural,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR);LCH - Licenciatura em Ciências e Humanidades (OL)
Planejamento Estratégico em Gestão de Projetos,2-2-4,Elaboração Análise e Avaliação de Projetos,EGES - Engenharia de Gestão (OL)
Planejamento Orçamentário,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Planejamento Urbano e Metropolitano,3-1-4,Teoria do Planejamento Urbano e Ambiental,EAU - Engenharia Ambiental e Urbana (OBR);BPP - Bacharelado em Políticas Públicas (OL)
Poder e Cultura na Sociedade da Informação,4-0-4 ,Não há,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Poder Local,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Polímeros Síntese Caracterização e Processos,4-2-4,Não há,BQ - Bacharelado em Química (OL)
Política Energética,4-0-4,Economia da Energia,EENE - Engenharia de Energia (OL)
Política Externa Brasileira Contemporânea,4-0-4,História da Política Externa Brasileira,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Política Habitacional,4-0-4,Não há,BPT - Bacharelado em Planejamento Territorial (OL)
Política Internacional dos EUA e da União Europeia,4-0-4,Não há,BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OBR)
Política Metropolitana,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Política Urbana,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);BPT - Bacharelado em Planejamento Territorial (OBR)
Políticas Culturais,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Políticas de Educação,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCB - Licenciatura em Ciências Biológicas (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL)
Políticas de Infraestrutura,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Políticas de Saúde,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Políticas Educacionais,3-0-3,Não há,LFIL - Licenciatura em Filosofia (OBR);LCB - Licenciatura em Ciências Biológicas (OBR);LFIS - Licenciatura em Física (OBR);LM - Licenciatura em Matemática (OBR);LQ - Licenciatura em Química (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OBR);LCH - Licenciatura em Ciências e Humanidades (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Políticas Públicas de Esporte e Lazer,2-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL)
Políticas Públicas de Gênero Etnia e Geração,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);LCB - Licenciatura em Ciências Biológicas (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Políticas Públicas de Intervenção Territorial no Brasil,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BCE - Bacharelado em Ciências Econômicas (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Políticas Públicas para Sociedade da Informação,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL)
Políticas Públicas Sul-Americanas,4-0-4,Não há,BPP - Bacharelado em Políticas Públicas (OL);BRI - Bacharelado em Relações Internacionais (OL)
Políticas Sociais,4-0-4,Não há,LCB - Licenciatura em Ciências Biológicas (OL);BCE - Bacharelado em Ciências Econômicas (OL);BPP - Bacharelado em Políticas Públicas (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);BRI - Bacharelado em Relações Internacionais (OL);BPT - Bacharelado em Planejamento Territorial (OL)
Políticas Educação e Surdez,4-0-2,Não há,LFIS - Licenciatura em Física (OL);LQ - Licenciatura em Química (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Poluição Atmosférica,3-0-4,Não há,EAU - Engenharia Ambiental e Urbana (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL)
Pragmatismo,4-0-4 ,Não há ,BFIL - Bacharelado em Filosofia (OL);LFIL - Licenciatura em Filosofia (OL)
Prática Avançada de Programação A,0-4-4,Algoritmos e Estruturas de Dados I,BCC - Bacharelado em Ciências da Computação (OL)
Prática Avançada de Programação B,0-4-4,Análise de Algoritmos,BCC - Bacharelado em Ciências da Computação (OL)
Prática Avançada de Programação C,0-4-4,Análise de Algoritmos,BCC - Bacharelado em Ciências da Computação (OL)
Prática de Ensino de Filosofia: Currículos,4-0-4,Não há,LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Prática de Ensino de Filosofia: Metodologias,4-0-4,Prática de Ensino de Filosofia: Currículos,LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Prática de Ensino de Filosofia: Programas de Ensino,4-0-4,Prática de Ensino de Filosofia: Currículos; Prática de Ensino de Filosofia: Metodologias,LFIL - Licenciatura em Filosofia (OBR);BC&H - Bacharelado em Ciências e Humanidades (OL);LCH - Licenciatura em Ciências e Humanidades (OL)
Prática em Museus Arquivos e Bens Culturais,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Práticas de Ciências no Ensino Fundamental,4-0-4,Não há,LFIS - Licenciatura em Física (OBR);LQ - Licenciatura em Química (OBR);LCB - Licenciatura em Ciências Biológicas (OBR);BC&T - Bacharelado em Ciência e Tecnologia (OL);BC&H - Bacharelado em Ciências e Humanidades (OL);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Práticas de Ecologia,1-3-4,Biodiversidade: Interações entre organismos e ambiente,EAU - Engenharia Ambiental e Urbana (OL);BCB - Bacharelado em Ciências Biológicas (OBR);LCB - Licenciatura em Ciências Biológicas (OBR);LFIL - Licenciatura em Filosofia (OL)
Práticas de Educação em Direitos Humanos,4-0-4,Não há,LCH - Licenciatura em Ciências e Humanidades (OL)
Práticas de Ensino de Biologia I,2-1-4,Não há,LM - Licenciatura em Matemática (OL);BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
Práticas de Ensino de Biologia II,2-1-4,Práticas de Ensino de Biologia I,BC&T - Bacharelado em Ciência e Tecnologia (OL);LCB - Licenciatura em Ciências Biológicas (OBR);LCNE - Licenciatura em Ciências Naturais e Exatas (OL)
